City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Sorong,ID,79.65,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
Gigmoto,PH,81.32,moderate rain,13.7796,124.39,Cj's Travellers Inn
Boyolangu,ID,74.53,scattered clouds,-8.1181,111.8935,Yos ega cv
Savannah Bight,HN,83.1,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
Poya,NC,70.16,clear sky,-21.35,165.15,
Artyom,AZ,84.34,clear sky,40.4723,50.333,Yusif 10 A
Palmas Bellas,PA,75.96,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
Freeport,US,73.36,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Alize Plage
Basco,PH,83.62,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
Petatlan,MX,75.0,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
Long Xuyen,VN,78.75,broken clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
Piterka,RU,78.53,overcast clouds,50.6803,47.4454,
Presidente Olegario,BR,78.76,clear sky,-18.4178,-46.4181,Cruzeiro Hotel
Tanggu,CN,71.56,scattered clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
Khani,GE,72.97,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
Le Port,RE,77.0,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
Biak,ID,76.8,few clouds,-0.9131,122.8766,Penginapan Kim
Canutama,BR,86.07,overcast clouds,-6.5339,-64.3831,Pousada Deus é Fiél
Kiunga,PG,74.68,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
Kilindoni,TZ,77.74,clear sky,-7.9139,39.6668,Bustani B&B
Vao,NC,73.89,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
Hervey Bay,AU,70.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
Ikalamavony,MG,81.99,clear sky,-21.15,46.5833,
Hamilton,US,71.2,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
Bara,NG,78.66,overcast clouds,10.3744,10.7288,
Tukrah,LY,82.04,clear sky,32.5341,20.5791,Lagrota restaurant
Kalemie,CD,83.41,overcast clouds,-5.9475,29.1947,Mahobilali
Guapiacu,BR,73.69,clear sky,-20.795,-49.2203,Chacara Rosa De Saron
Peniche,PT,87.3,light rain,39.3558,-9.3811,Hotel Star inn Peniche
Agadir,MA,75.65,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
Amuntai,ID,75.78,light rain,-2.4177,115.2494,Hotel Balqis
Hirara,JP,80.15,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
Kieta,PG,78.37,light rain,-6.2167,155.6333,Uruna Bay Retreat
Ambunti,PG,75.63,moderate rain,-4.2365,142.8448,AMBUNTI HIDE INN
San Angelo,US,70.02,clear sky,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
Brigantine,US,74.03,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
Kroya,ID,76.84,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
Gayeri,BF,86.31,scattered clouds,12.6497,0.4931,
Matara,LK,79.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
Mapiripan,CO,79.21,broken clouds,2.8892,-72.1256,Monserrate
Jablah,SY,82.8,clear sky,35.3614,35.9256,هوتيل
Lamar,US,72.64,clear sky,33.6668,-95.5836,Kings Inn Paris TX
Wana,PK,82.08,clear sky,32.2989,69.5725,Rest House at Wana Camp
Ikom,NG,78.69,moderate rain,5.9667,8.7063,Ebenezer Beim excellence hotel
Mankono,CI,78.87,light rain,8.0586,-6.1897,Hôtel cotonputeur
Fukue,JP,74.3,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
Tarakan,ID,81.9,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
